County,2018,2017,2016
Florida,53267,50883,48900
Alachua,49078,45478,44702
Baker,61769,59506,53327
Bay,51829,50283,48577
Bradford,46197,46106,43373
Brevard,54359,51536,49914
Broward,57333,54895,52954
Calhoun,38609,36237,37089
Charlotte,49225,46511,44865
Citrus,41424,40574,39054
Clay,62653,61971,59179
Collier,65675,62407,59783
Columbia,44491,43504,42848
Miami-Dade,48982,46338,44224
DeSoto,35057,35435,35513
Dixie,38237,35910,34634
Duval,53473,51296,49196
Escambia,49286,47361,46117
Flagler,53872,51049,48898
Franklin,42855,41267,40301
Gadsden,40922,39830,38533
Gilchrist,42357,42934,40881
Glades,39879,37385,34143
Gulf,44291,44647,40822
Hamilton,34583,36209,38980
Hardee,37594,39063,36222
Hendry,40728,37966,37552
Hernando,46030,44324,42274
Highlands,37314,36374,35865
Hillsborough,56137,53742,51681
Holmes,38608,37474,37437
Indian River,52336,49009,47446
Jackson,39002,36944,35470
Jefferson,48173,47599,41696
Lafayette,39543,41512,36236
Lake,51884,49734,47141
Lee,54691,52052,50390
Leon,51201,49941,48248
Levy,37634,36554,35480
Liberty,37363,36741,37917
Madison,35509,31816,29806
Manatee,56036,53408,51483
Marion,43361,41964,40295
Martin,57959,55588,52622
Monroe,67023,63030,60303
Nassau,66297,64294,59196
Okaloosa,62048,59955,57655
Okeechobee,40367,39059,36415
Orange,54335,51586,49391
Osceola,50063,47343,45536
Palm Beach,59943,57256,55277
Pasco,50417,48289,46010
Pinellas,51454,48968,47090
Polk,48500,45988,44146
Putnam,35649,33619,33003
St. Johns,77323,73640,69523
St. Lucie,49373,47132,44140
Santa Rosa,66242,62731,60652
Sarasota,58644,55236,52796
Seminole,63760,60739,58538
Sumter,55228,54771,52594
Suwannee,42686,40600,37796
Taylor,36934,37188,36195
Union,41770,37460,37778
Volusia,46760,43838,42240
Wakulla,62778,57866,54078
Walton,53785,50619,46910
Washington,37188,36989,38330
